number_of_air_conditioners,ac_power_hp,number_of_refrigerators,number_of_televisions,number_of_fans,number_of_computers,average_daily_usage_hours,season,house_size_m2,insulation_quality,has_water_heater,washing_machine_usage_per_week,monthly_energy_consumption_kwh,monthly_electricity_bill_egp
3,1.5,2,2,2,0,5.892709792759419,summer,164.9574957193904,low,0,3,3350.6436845812027,4023.4622315242455
4,1.5,2,3,4,0,3.934904231276863,summer,212.1796112597765,low,0,1,3175.9570790078283,3805.380267130015
2,1.5,2,1,0,1,7.274453768384978,winter,110.56650378790118,medium,1,1,2440.4690181880815,2919.370380429018
4,3.0,2,1,3,1,4.672883977159964,winter,199.97687157811447,high,0,5,2882.836566751636,3455.7809365811718
4,2.25,2,0,3,0,6.815346462688693,summer,197.944977416502,low,1,6,5622.536606731787,6735.6568473103625
1,3.0,2,2,0,2,7.684834600128853,summer,96.73119026288963,low,1,1,3445.909573940938,4140.443164112981
2,3.0,2,2,2,1,6.57198468203059,winter,110.40883347504953,high,0,2,2586.698424383322,3108.551401020676
2,2.25,2,1,4,0,5.160125780759607,summer,98.12867856026119,medium,1,1,3076.20314041923,3693.029421009039
2,1.5,1,0,1,0,8.999285690229236,winter,108.10091277637886,high,0,6,1397.5934333972218,1687.0053795644983
4,3.0,1,3,4,0,3.95145582954595,winter,200.94837229950386,high,0,6,1864.3115119298277,2233.1268721019946
3,3.0,2,3,4,0,3.2996044205494908,summer,176.56038082766491,low,0,6,3528.7421562099635,4237.572427609184
2,1.5,2,2,3,2,8.801189747342644,winter,148.3283773277418,high,1,6,2594.850572478461,3117.8560303948984
4,1.5,1,0,4,2,3.2391888459476785,summer,185.4254562563603,low,0,0,2079.3670518402964,2488.3744754095965
1,3.0,1,0,3,1,6.41033551834401,winter,60.17973032202846,medium,0,0,1401.6233800856673,1680.9509510621808
3,2.25,1,3,1,1,6.764786943892981,winter,166.39284935222668,high,1,5,2105.3367448372815,2527.5602699806027
1,3.0,1,2,4,0,5.368577185990634,winter,76.18860197118687,high,0,3,1249.4094287282467,1499.0715603600868
3,1.5,2,1,0,2,4.931009885678348,summer,160.08258581656355,low,0,3,3104.7147500822593,3716.436521522884
4,3.0,1,0,4,1,8.181832164124955,winter,238.58161276898838,high,1,6,3113.162389061071,3727.218088081806
0,3.0,1,1,0,2,5.564430506187598,summer,50.0,medium,0,6,953.9398675921303,1133.6482635575599
3,3.0,1,2,3,1,3.8660926915950355,winter,165.8423724076837,low,1,5,2225.5691866464485,2670.3242762376262
1,1.5,1,3,4,0,6.242281966381595,winter,99.48089111382491,medium,0,4,1205.8982399207828,1435.873131373619
4,3.0,2,0,3,0,8.084605915658194,summer,194.03956906742857,medium,0,6,6163.2470305916395,7396.4164819445
3,2.25,1,1,0,1,5.156819848406848,winter,190.49261589734914,low,0,6,2027.034975191139,2428.4051637856955
0,1.5,2,0,3,2,3.924713607111066,winter,80.00469101811132,low,1,4,2003.3434408154042,2406.719320027838
0,2.25,2,0,2,2,5.387760606255097,winter,50.0,low,0,0,1817.905072246292,2182.3950461891227
2,3.0,2,0,0,0,6.818280822613735,winter,160.76139904993562,low,0,0,3002.5826847051735,3600.3296882166483
2,3.0,2,2,3,0,3.7121086302214072,summer,132.57354004358257,high,0,3,2591.35980949667,3110.4858373200964
1,1.5,2,1,4,2,4.641788986762947,summer,69.02258108430877,low,0,5,2284.2035793044993,2743.7360456595056
3,1.5,1,0,3,2,9.795803886022867,summer,187.01559110010527,medium,0,1,3045.9565691010807,3661.2865879416468
3,3.0,2,1,1,0,4.429129971049306,winter,149.18608830781992,low,0,5,3019.0546219949188,3624.441815444519
2,1.5,1,2,0,1,3.4445709560116518,winter,105.23460499200658,high,1,2,1383.5221381515346,1660.0108920072962
3,1.5,1,0,3,1,6.0251141492068205,summer,185.59394485236706,high,0,3,1924.386046541887,2309.941244150159
3,2.25,2,0,2,2,3.516805714685846,winter,155.0375510340179,medium,1,6,2462.6715142469784,2956.7392757027033
0,3.0,2,0,1,2,3.0948652205466494,summer,84.82361306173146,medium,0,1,1784.1319495769935,2145.806123469908
2,3.0,1,1,0,1,3.1084366555117233,winter,96.43244866551333,high,1,2,1536.3034639351708,1843.9875159114806
4,3.0,2,1,1,0,5.075132519528889,winter,229.75916689282155,low,1,3,3810.1515928755266,4569.648944547165
2,1.5,2,0,4,0,3.5165564437882835,winter,127.22733769494101,high,1,5,2118.73277798664,2547.06787189134
4,1.5,2,1,2,0,4.350282050807798,winter,167.0724414273329,high,1,3,2383.398962062681,2856.1442513862125
0,1.5,1,1,4,1,7.5377878399182014,summer,72.49966540054155,low,1,2,1241.4229203181062,1485.1569624904414
1,3.0,1,0,3,0,5.018503329542248,winter,70.86162192480589,low,0,6,1378.0034925955836,1653.8985825444786
3,3.0,2,0,1,1,7.028430515277065,summer,121.41246981587898,medium,0,4,4644.730660691454,5568.529305158661
0,3.0,2,3,4,1,5.87916826315066,winter,86.11174888514529,low,0,0,1874.5400100118027,2254.965146049993
3,1.5,2,3,3,2,9.193094248035566,winter,186.1583143753618,high,0,4,2780.7130688779275,3348.5909338789725
1,1.5,1,0,2,1,7.874938995825314,summer,83.90333038435446,high,1,6,1551.6254231766497,1861.2122357618048
1,3.0,2,2,4,1,8.967567665286863,summer,115.30666454793135,medium,0,1,3120.303900709119,3747.2658848357505
0,1.5,2,0,1,2,6.632236215477009,summer,51.60842905160842,high,0,6,1825.4872865390444,2197.4433143068513
1,2.25,2,0,4,2,8.468377462381767,summer,93.23941558095022,low,0,6,3027.5914911647824,3633.5955988002715
4,3.0,2,0,2,1,7.309043685504984,summer,241.8615045701455,medium,0,3,5747.530276037351,6899.813301364664
1,2.25,1,0,3,2,8.20749091877499,winter,96.64462718284462,high,1,1,1492.0245829417736,1791.081717835305
3,2.25,2,0,4,0,7.792231540304437,summer,192.2085147606163,low,1,5,5113.472553237831,6134.130620678513
3,3.0,2,0,4,0,5.103574863725617,winter,159.7582363303916,low,0,3,3216.609201297894,3862.866850356915
3,2.25,1,0,0,1,3.8779115627391847,summer,143.83082098218972,high,0,3,1838.997431141391,2209.733560517175
3,2.25,2,0,3,2,8.645003121995202,summer,163.7140189766943,low,1,2,5551.014631869957,6663.575324147104
4,3.0,2,3,0,2,3.541353476043282,summer,223.9134088384269,high,1,5,3441.594652389018,4123.78184588049
2,1.5,1,3,0,0,7.2361724343699665,winter,160.94159699685878,high,1,6,1511.7898066180082,1809.264509160055
0,2.25,2,3,2,1,9.921460338490217,summer,52.3276386356146,high,0,3,1930.5310096803767,2320.28664745577
3,2.25,1,2,2,1,4.278885095428745,winter,213.24082704344522,high,1,0,1740.0108498496936,2085.8645567019234
1,2.25,2,1,1,1,8.20440345898065,summer,76.43190183470396,medium,1,3,2862.3851283032104,3431.201017622223
3,2.25,2,2,3,0,9.67210721404393,winter,152.80845387188904,high,0,4,3127.10120631478,3754.8047728198635
1,2.25,2,2,3,2,6.468375506344674,winter,93.69548693368831,low,0,2,2344.7548469425806,2809.0392517071414
1,1.5,1,0,2,1,7.011061607306958,summer,95.4931073069431,high,0,4,1322.7379723911502,1583.3339517896718
3,3.0,2,3,2,2,5.573644798884886,summer,164.30774984565844,high,0,5,3684.243461268122,4420.340979818891
4,1.5,1,0,0,0,6.092351653456449,summer,202.37551721419783,high,1,4,2302.972188519274,2763.652827342456
1,2.25,1,0,2,1,7.410718435515011,summer,75.8757705293201,high,1,2,1728.3268977580947,2070.7960194797547
1,1.5,1,3,4,2,9.10018096939454,summer,105.15435234132984,low,0,6,1951.9848142844444,2345.3910821570057
3,2.25,1,0,3,2,9.666327477755923,summer,173.72536281968877,low,0,6,4868.236888015143,5844.558435600076
1,2.25,1,1,1,0,6.8025865375359515,summer,98.5755936519569,medium,1,4,1779.9047268573208,2143.6167461459386
1,3.0,1,1,0,0,8.475814167511118,summer,50.0,high,1,3,1925.0895581828465,2307.0551594317203
3,1.5,2,2,4,1,8.155329423058497,winter,193.2729894304162,medium,1,4,2899.925443113682,3484.660336993646
3,3.0,2,3,2,0,4.729150693704406,summer,153.52707998011073,high,0,6,3343.383087249583,4015.83621742566
0,3.0,2,1,1,2,6.233035964959452,summer,75.85739929216379,high,1,2,2099.7581084780513,2522.7589480173588
4,1.5,2,2,2,1,7.784591104955607,winter,185.95525246615637,high,0,0,2755.1401785749117,3314.3101271696073
4,3.0,1,0,4,1,3.9022499620380584,summer,184.80482544735457,high,1,3,2879.278270694321,3456.1513507302757
1,3.0,2,2,1,0,9.187794291679744,summer,81.07626387884852,high,0,4,2816.3522840980095,3379.131276610664
4,3.0,2,2,2,0,5.817800339160424,summer,217.95718649665847,low,0,3,5889.323867225364,7065.705199226795
1,3.0,1,1,4,1,6.174471446868088,summer,113.10043705096713,high,0,3,1638.5040478779324,1964.476480347285
0,3.0,2,2,4,1,9.08820040635656,summer,50.0,medium,0,3,1928.6732524974568,2305.8331430051494
3,2.25,1,3,1,0,4.205836982149821,summer,157.0444055001632,medium,1,0,2306.0052250253702,2768.9443466992207
3,2.25,2,0,4,0,3.2487069610050887,winter,194.72217292134692,medium,0,0,2278.679426457414,2736.213657433078
3,3.0,2,3,2,2,5.002238781451096,winter,164.78944120776785,low,0,3,3267.915722456143,3916.4702937744623
4,1.5,1,0,1,1,4.051608196727008,winter,205.77075313055573,medium,1,3,1682.2256773994357,2018.1033440685849
0,2.25,2,3,0,2,9.899110127796039,summer,68.51751850872208,medium,0,0,1950.0947578750875,2334.473536061319
4,3.0,2,0,4,1,6.9631835053550315,summer,222.24462090325892,low,1,1,6825.551794996548,8187.665773371501
4,1.5,2,3,2,0,6.951670570043569,summer,223.99927661807814,medium,1,0,3878.6317356608693,4653.656875040628
0,1.5,2,0,1,0,8.558779626725268,summer,69.56852779410485,high,1,3,1862.6549898248186,2238.685632905148
0,3.0,1,1,0,0,4.8096109935426945,summer,50.0,high,1,2,1000.0354850459288,1186.9803252047066
0,1.5,2,2,0,2,6.65874633842423,summer,55.1718098837502,low,1,1,2009.72283324254,2406.2241130251487
0,3.0,1,2,3,2,3.995027823627961,winter,50.0,medium,0,3,971.7830689461196,1164.0443297616844
3,1.5,1,2,3,2,3.6544507728465123,summer,155.17433624562764,low,0,5,1920.8716426168778,2307.882027361649
2,2.25,2,2,1,2,6.077913403812716,summer,148.86440158378815,medium,0,0,3073.7064291530537,3689.941751719507
2,3.0,1,0,4,0,9.390264447581188,winter,152.09576545999911,low,0,4,2721.3131839131156,3269.1367518048014
0,1.5,2,3,2,2,6.087474662862773,summer,98.91994131752402,high,1,6,2096.9864742710015,2519.3613982904058
2,3.0,1,3,4,2,6.162114752688911,winter,131.74561349967604,high,1,3,1990.1998614674962,2390.912776176404
2,3.0,1,1,2,0,9.055706774751204,summer,103.35577808253358,high,0,0,2893.590560781117,3464.7379167037425
0,2.25,1,2,2,2,5.002288419341614,winter,66.65606451271873,high,1,2,1195.422795458609,1435.1283428742618
2,1.5,1,2,3,1,6.4291101846235215,winter,114.695196862278,high,1,6,1458.4199181326942,1741.4765318347536
4,3.0,2,1,3,0,4.15085618786032,winter,200.27827062557958,low,1,6,3493.3374668658857,4193.732486486745
1,2.25,2,2,4,2,8.923233973634284,winter,108.48752431750839,high,0,3,2356.2193366339598,2821.789488015708
1,2.25,2,1,1,2,3.2603549058108707,summer,87.5664540345703,low,0,1,2224.485457844959,2667.5935593589975
0,1.5,2,2,2,2,5.891785766406093,summer,60.22990789417577,low,1,4,2138.6713195691946,2556.8997116257083
3,3.0,1,3,3,0,4.936065108817855,winter,172.41367376951487,low,1,3,2486.1289930206244,2984.853549141315
0,1.5,2,1,1,2,4.8008609754078275,winter,64.63474451326766,low,1,4,1926.6676491185267,2304.0974493740146
3,1.5,2,3,3,2,4.709294986411514,summer,165.04614380408208,medium,1,1,2949.9494981612856,3529.3194651671906
1,2.25,2,2,2,2,5.586688144877517,winter,66.2950933081748,high,0,4,2090.2257681423926,2509.626090605198
0,2.25,1,3,0,0,9.310452178591436,summer,72.12321608484487,low,0,6,957.1659010868523,1145.8407674780929
4,3.0,1,3,3,0,7.961363227564865,winter,197.99128168525237,low,1,0,4133.674834789147,4959.164745286032
2,3.0,1,0,1,1,9.226018246826467,winter,139.75284655737863,medium,1,4,2447.965525125336,2934.0498086831462
3,2.25,1,2,4,2,4.3751125177496135,winter,178.60471407136373,medium,1,3,1807.7773451129594,2160.7216117557277
2,1.5,1,0,4,1,8.94388019507308,summer,128.359959938415,medium,0,5,2215.747968048474,2657.8830893491704
2,1.5,2,1,2,0,6.009004438700928,summer,132.4331542885107,low,1,2,2993.361674744869,3592.419809102035
0,1.5,1,0,0,1,9.867461331167167,winter,51.31325753158275,low,0,1,915.5387914525422,1098.886185915944
2,1.5,2,2,3,0,7.155568158588312,summer,82.93705829548924,medium,1,2,3022.6719967249387,3623.4589023359067
4,2.25,1,0,3,1,6.411594262134609,summer,212.77941532393388,low,1,0,4558.411523010041,5468.815427310146
2,1.5,1,0,0,0,9.476481105302902,winter,137.31695660651076,high,1,5,1516.1257185372385,1818.779532354141
0,1.5,1,2,2,1,5.66926366689259,summer,71.85160612601487,high,1,6,1152.8552464553663,1382.0226069272153
4,2.25,1,3,2,2,8.241214454629878,winter,182.40657142799486,low,0,4,3391.4857702121876,4072.4349472542553
1,2.25,1,1,1,1,6.31360125835902,summer,100.1628756966077,high,0,0,1444.8426064461096,1739.818229791828
2,3.0,1,0,1,2,8.13528265936285,summer,105.32035470804989,low,0,2,3857.851655622308,4622.38320472772
0,3.0,2,2,1,2,4.929798113864592,summer,76.96206765061513,low,0,4,1827.8391537293544,2193.7711163079507
1,3.0,1,0,2,1,5.846793484317466,summer,80.68186215543304,high,0,0,1563.3044699994532,1875.1559064580683
1,3.0,1,1,3,0,5.41732045344179,winter,104.54346130701178,low,1,3,1684.1063479410464,2023.1136320555297
3,2.25,2,1,4,2,9.081776216086883,winter,198.68754498278747,low,0,5,3860.7134015780584,4632.288700894026
4,3.0,1,1,2,1,9.499930086658672,summer,207.60247869901886,low,0,6,7669.041412128758,9210.840404969362
2,2.25,1,0,0,1,8.148648819647335,winter,117.093846162033,low,1,1,2319.520118894465,2781.7392557841285
0,2.25,2,3,4,2,8.751118133347541,winter,50.0,low,0,4,1996.2333142158016,2393.2817114089517
3,2.25,2,3,2,0,5.477230287769331,winter,194.71388563837425,low,0,4,2973.1351899116403,3564.461141291722
4,3.0,1,3,2,2,4.054584084557125,winter,226.8374264670568,medium,1,3,2353.7078221001566,2825.376096596887
3,3.0,1,2,1,1,7.806089215081056,summer,185.66415907459862,high,1,2,3611.905247114558,4336.050520571167
4,1.5,1,3,3,1,7.461135313050554,summer,243.60454329986442,high,1,1,2910.497031852493,3503.468099783202
4,1.5,1,3,3,2,4.846360706655263,summer,208.56655145966425,low,1,0,2854.57081776734,3423.841870195395
2,3.0,1,1,4,0,9.38666775955576,winter,132.08421192823664,high,0,0,2061.432577320998,2480.8338112545857
4,1.5,1,2,2,2,5.502849840305168,winter,221.43062992806648,high,1,3,1861.0932317342606,2236.596172797181
3,3.0,2,1,1,2,8.706545654076137,winter,142.35082532371027,medium,1,0,3939.4780300480907,4736.485256444731
4,3.0,2,0,0,2,3.9036276491570217,summer,232.5252622702706,low,1,5,4717.453389812621,5670.237130121775
2,3.0,2,0,2,0,5.007142559379659,summer,115.89832583573687,low,0,4,3495.33520596333,4194.398046737896
2,2.25,2,1,1,2,7.300937923425702,summer,135.63276596204125,medium,1,2,3590.0209870676117,4302.089718396953
3,1.5,1,2,0,2,4.693530067177773,winter,184.49068843177497,high,1,5,1595.7575613287797,1909.0305825065507
1,3.0,2,3,0,1,9.69548466469794,winter,78.97769749892782,high,1,5,2548.8726750858414,3052.63303762526
1,3.0,1,3,4,1,6.860943971480706,summer,72.14124738449169,high,1,0,1996.5761683514113,2398.2238662330146
4,1.5,1,2,3,0,8.120179146921245,winter,209.3659575110662,low,0,4,2509.229348595446,3017.5230980531014
0,3.0,2,3,3,0,6.930460882323336,summer,62.632812446325694,high,1,1,1951.0725352816871,2343.4754124031224
4,2.25,1,3,4,1,5.847332991249059,winter,223.6426458455635,high,1,2,2132.504285412858,2551.483476157928
3,3.0,2,1,2,2,8.755040754987325,winter,173.956557790277,low,0,0,4357.083983053712,5233.584275313382
3,3.0,2,0,1,0,3.158409650375658,winter,149.28430390830798,medium,1,5,2654.7278496654685,3180.464078899618
3,1.5,2,2,3,0,5.987566573049462,summer,147.79600439817287,low,1,4,3521.449218789853,4227.3267299911
3,2.25,2,2,4,0,9.167834797871372,summer,186.26316154024752,high,1,5,4334.714138819297,5199.289812634807
3,2.25,2,3,3,1,3.595897529537572,winter,171.82719006728328,medium,0,3,2405.480958557363,2888.5193436910627
2,1.5,1,3,3,2,4.452164031014792,winter,147.97638014215272,high,0,1,1237.4379518931162,1493.7566008559525
1,1.5,2,0,3,0,9.724374038404582,winter,85.71210274998137,medium,1,1,2371.400843728109,2843.518232810116
3,3.0,1,2,2,1,9.712771944393873,winter,169.03569888395936,high,1,4,2808.5197874914215,3371.3826340707456
